minutes_watched,CLV,region_0,region_1,region_2,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
989,181,0,1,0,1,0,0,0,0,0,0,0
2938,82,0,0,1,0,0,0,0,0,0,1,0
446,62,0,0,1,0,0,0,0,0,1,0,0
3562,90,0,0,1,1,0,0,0,0,0,0,0
314,49,1,0,0,0,0,1,0,0,0,0,0
417,222,0,1,0,0,0,1,0,0,0,0,0
234,174,1,0,0,0,0,1,0,0,0,0,0
714,184,0,0,1,0,0,1,0,0,0,0,0
65,129,0,0,1,1,0,0,0,0,0,0,0
2512,174,0,0,1,0,0,1,0,0,0,0,0
12723,373,0,0,1,0,0,1,0,0,0,0,0
7207,173,1,0,0,0,0,0,0,0,0,0,1
14553,441,0,1,0,1,0,0,0,0,0,0,0
1394,240,0,0,1,0,0,1,0,0,0,0,0
3767,174,0,0,1,0,0,1,0,0,0,0,0
292,187,0,1,0,0,0,1,0,0,0,0,0
40488,185,1,0,0,0,0,0,0,0,0,1,0
14621,18,0,0,1,0,0,0,1,0,0,0,0
913,184,0,1,0,0,0,0,1,0,0,0,0
133,62,0,0,1,0,0,0,0,0,0,1,0
2085,273,1,0,0,0,0,1,0,0,0,0,0
643,174,1,0,0,1,0,0,0,0,0,0,0
8289,211,0,0,1,0,0,1,0,0,0,0,0
1164,149,0,1,0,0,0,1,0,0,0,0,0
186,62,0,0,1,1,0,0,0,0,0,0,0
1,149,1,0,0,1,0,0,0,0,0,0,0
686,149,0,0,1,0,0,1,0,0,0,0,0
901,133,1,0,0,1,0,0,0,0,0,0,0
1750,173,1,0,0,0,0,1,0,0,0,0,0
89,184,1,0,0,1,0,0,0,0,0,0,0
461,184,1,0,0,0,0,0,0,0,0,1,0
5156,106,1,0,0,0,0,0,1,0,0,0,0
41,62,0,0,1,0,0,0,0,0,1,0,0
1653,91,0,0,1,0,0,1,0,0,0,0,0
1606,149,0,1,0,1,0,0,0,0,0,0,0
631,240,1,0,0,0,0,0,0,0,0,1,0
1614,149,1,0,0,1,0,0,0,0,0,0,0
1028,149,0,0,1,1,0,0,0,0,0,0,0
1675,119,0,0,1,0,0,0,1,0,0,0,0
918,68,0,0,1,0,0,0,0,0,0,1,0
1861,149,1,0,0,0,0,1,0,0,0,0,0
2595,149,0,0,1,0,0,1,0,0,0,0,0
2239,149,0,0,1,0,0,1,0,0,0,0,0
203,149,1,0,0,1,0,0,0,0,0,0,0
152,149,0,0,1,0,0,0,1,0,0,0,0
1055,149,0,0,1,0,0,1,0,0,0,0,0
653,30,0,0,1,0,0,1,0,0,0,0,0
914,149,1,0,0,0,0,0,1,0,0,0,0
380,149,1,0,0,1,0,0,0,0,0,0,0
1379,149,0,0,1,0,0,0,0,0,0,1,0
674,149,0,0,1,0,0,1,0,0,0,0,0
1743,149,1,0,0,0,0,1,0,0,0,0,0
5004,149,0,0,1,1,0,0,0,0,0,0,0
5357,149,1,0,0,1,0,0,0,0,0,0,0
4587,133,0,1,0,0,0,1,0,0,0,0,0
539,149,1,0,0,0,0,1,0,0,0,0,0
826,184,1,0,0,0,0,1,0,0,0,0,0
396,178,0,1,0,0,0,1,0,0,0,0,0
836,149,0,0,1,0,0,1,0,0,0,0,0
11346,149,0,0,1,1,0,0,0,0,0,0,0
983,150,1,0,0,0,0,0,0,0,1,0,0
476,149,0,0,1,0,0,0,0,0,0,0,1
1785,10,0,1,0,0,1,0,0,0,0,0,0
125,149,1,0,0,0,0,1,0,0,0,0,0
68,149,0,0,1,0,0,1,0,0,0,0,0
409,178,0,1,0,0,0,1,0,0,0,0,0
321,138,1,0,0,1,0,0,0,0,0,0,0
666,150,0,0,1,1,0,0,0,0,0,0,0
150,150,1,0,0,0,1,0,0,0,0,0,0
320,79,0,0,1,0,0,1,0,0,0,0,0
3230,174,1,0,0,0,0,1,0,0,0,0,0
3461,239,0,1,0,0,0,1,0,0,0,0,0
220,184,1,0,0,0,0,1,0,0,0,0,0
1127,174,1,0,0,0,0,1,0,0,0,0,0
289,62,0,0,1,0,0,1,0,0,0,0,0
372,27,0,0,1,0,0,0,0,0,1,0,0
3702,174,0,0,1,0,0,0,0,0,0,1,0
130,181,0,1,0,0,1,0,0,0,0,0,0
544,174,1,0,0,0,0,1,0,0,0,0,0
1305,184,0,0,1,0,0,1,0,0,0,0,0
2505,212,0,1,0,1,0,0,0,0,0,0,0
263,149,1,0,0,0,0,0,0,0,0,1,0
110,174,1,0,0,0,0,0,0,0,0,1,0
0,183,1,0,0,0,0,1,0,0,0,0,0
1283,184,0,0,1,0,0,1,0,0,0,0,0
1741,62,0,0,1,0,0,1,0,0,0,0,0
21,137,1,0,0,0,0,0,0,0,0,1,0
6132,174,0,0,1,1,0,0,0,0,0,0,0
12677,150,1,0,0,0,0,1,0,0,0,0,0
661,186,1,0,0,0,0,1,0,0,0,0,0
148,62,0,0,1,0,0,1,0,0,0,0,0
1972,184,1,0,0,0,0,0,0,0,1,0,0
4440,138,1,0,0,1,0,0,0,0,0,0,0
198,141,0,1,0,0,0,1,0,0,0,0,0
3555,184,0,0,1,0,0,1,0,0,0,0,0
1615,149,0,0,1,1,0,0,0,0,0,0,0
339,212,0,1,0,0,0,0,0,0,1,0,0
202,149,0,0,1,0,0,1,0,0,0,0,0
536,62,0,0,1,0,1,0,0,0,0,0,0
190,174,0,0,1,0,0,0,0,0,0,1,0
785,62,0,0,1,1,0,0,0,0,0,0,0
108329,344,0,0,1,0,0,1,0,0,0,0,0
28815,269,0,1,0,0,0,0,0,0,0,0,1
366,137,1,0,0,1,0,0,0,0,0,0,0
512,43,0,1,0,0,0,1,0,0,0,0,0
1146,174,0,0,1,0,0,1,0,0,0,0,0
10438,55,0,0,1,0,0,1,0,0,0,0,0
1171,174,0,0,1,0,0,0,1,0,0,0,0
1132,221,0,1,0,0,0,0,0,0,0,1,0
514,184,0,0,1,1,0,0,0,0,0,0,0
